        Date        , GPU Core Clock [MHz] , GPU Memory Clock [MHz] , GPU Temperature [°C] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Memory Usage (Dedicated) [MB] , Memory Usage (Dynamic) [MB] , PerfCap Reason [] , VDDC [V] ,
2016-02-27 08:29:13 ,              936.6   ,                800.0   ,               79.0   ,         99   ,                       84   ,                   0   ,                    9   ,                         223   ,                        37   ,               0   , 1.1000   ,
2016-02-27 08:29:14 ,              936.6   ,                800.0   ,               79.0   ,         99   ,                       84   ,                   0   ,                    9   ,                         223   ,                        37   ,               0   , 1.1000   ,
2016-02-27 08:29:15 ,              936.6   ,                800.0   ,               66.0   ,          0   ,                        0   ,                   0   ,                    0   ,                         223   ,                        37   ,               0   , 1.1000   ,
2016-02-27 08:29:16 ,              936.6   ,                800.0   ,               65.0   ,          0   ,                        0   ,                   0   ,                    0   ,                         223   ,                        37   ,               0   , 1.1000   ,
2016-02-27 08:29:17 ,              936.6   ,                800.0   ,               64.0   ,          0   ,                        0   ,                   0   ,                    0   ,                         223   ,                        37   ,               0   , 1.1000   ,
2016-02-27 08:29:18 ,              936.6   ,                800.0   ,               63.0   ,          0   ,                        0   ,                   0   ,                    0   ,                         223   ,                        37   ,               0   , 1.1000   ,
2016-02-27 08:29:19 ,              936.6   ,                800.0   ,               63.0   ,          0   ,                        0   ,                   0   ,                    0   ,                         223   ,                        37   ,               0   , 1.1000   ,
2016-02-27 08:29:20 ,              936.6   ,                800.0   ,               62.0   ,          0   ,                        0   ,                   0   ,                    0   ,                         223   ,                        37   ,               0   , 1.1000   ,
2016-02-27 08:29:21 ,              936.6   ,                800.0   ,               61.0   ,          0   ,                        0   ,                   0   ,                    0   ,                         223   ,                        37   ,               0   , 1.1000   ,
2016-02-27 08:29:22 ,              936.6   ,                800.0   ,               61.0   ,          0   ,                        0   ,                   0   ,                    0   ,                         223   ,                        37   ,               0   , 1.1000   ,
2016-02-27 08:29:23 ,              202.5   ,                405.0   ,               60.0   ,          0   ,                        0   ,                   0   ,                    0   ,                         223   ,                        37   ,              16   , 0.9250   ,
2016-02-27 08:29:24 ,              202.5   ,                405.0   ,               59.0   ,          0   ,                        0   ,                   0   ,                    0   ,                         223   ,                        37   ,              16   , 0.9250   ,
2016-02-27 08:29:25 ,              624.4   ,                800.0   ,               59.0   ,         75   ,                       17   ,                   0   ,                   51   ,                           0   ,                        37   ,              16   , 0.9250   ,
2016-02-27 08:29:26 ,                  -   ,                    -   ,                0.0   ,          -   ,                        -   ,                   -   ,                    -   ,                           0   ,                        37   ,               0   , 0.0000   ,
2016-02-27 08:29:27 ,                  -   ,                    -   ,                0.0   ,          -   ,                        -   ,                   -   ,                    -   ,                           0   ,                        37   ,               0   , 0.0000   ,
2016-02-27 08:29:28 ,                  -   ,                    -   ,                0.0   ,          -   ,                        -   ,                   -   ,                    -   ,                           0   ,                        37   ,               0   , 0.0000   ,
2016-02-27 08:29:29 ,              776.3   ,                800.0   ,               57.0   ,          0   ,                        0   ,                   0   ,                    0   ,                         211   ,                        37   ,              16   , 1.0250   ,
2016-02-27 08:29:30 ,              776.3   ,                800.0   ,               57.0   ,          0   ,                        0   ,                   0   ,                    0   ,                         211   ,                        37   ,              16   , 1.0250   ,
2016-02-27 08:29:31 ,              776.3   ,                800.0   ,               57.0   ,          0   ,                        0   ,                   0   ,                    0   ,                         211   ,                        37   ,              16   , 1.0250   ,
2016-02-27 08:29:32 ,              776.3   ,                800.0   ,               56.0   ,          0   ,                        0   ,                   0   ,                    0   ,                         211   ,                        37   ,              16   , 1.0250   ,
2016-02-27 08:29:33 ,              776.3   ,                800.0   ,               56.0   ,          0   ,                        0   ,                   0   ,                    0   ,                         211   ,                        37   ,              16   , 1.0250   ,
2016-02-27 08:29:34 ,              776.3   ,                800.0   ,               56.0   ,          0   ,                        0   ,                   0   ,                    0   ,                         211   ,                        37   ,              16   , 1.0250   ,
2016-02-27 08:29:35 ,              776.3   ,                800.0   ,               56.0   ,          0   ,                        0   ,                   0   ,                    0   ,                         211   ,                        37   ,              16   , 1.0250   ,
2016-02-27 08:29:36 ,              776.3   ,                800.0   ,               56.0   ,          0   ,                        0   ,                   0   ,                    0   ,                         211   ,                        37   ,              16   , 1.0250   ,
2016-02-27 08:29:37 ,              776.3   ,                800.0   ,               56.0   ,          0   ,                        0   ,                   0   ,                    0   ,                         211   ,                        37   ,              16   , 1.0250   ,
2016-02-27 08:29:38 ,              776.3   ,                800.0   ,               56.0   ,          0   ,                        0   ,                   0   ,                    0   ,                         211   ,                        37   ,              16   , 1.0250   ,
2016-02-27 08:29:39 ,              776.3   ,                800.0   ,               56.0   ,          0   ,                        0   ,                   0   ,                    0   ,                         162   ,                        37   ,              16   , 1.0250   ,
2016-02-27 08:29:40 ,              776.3   ,                800.0   ,               56.0   ,         27   ,                        4   ,                   0   ,                   16   ,                           0   ,                        37   ,              16   , 1.0250   ,
2016-02-27 08:29:41 ,                  -   ,                    -   ,                0.0   ,          -   ,                        -   ,                   -   ,                    -   ,                           0   ,                        37   ,               0   , 0.0000   ,
2016-02-27 08:29:42 ,                  -   ,                    -   ,                0.0   ,          -   ,                        -   ,                   -   ,                    -   ,                           0   ,                        37   ,               0   , 0.0000   ,
2016-02-27 08:29:43 ,                  -   ,                    -   ,                0.0   ,          -   ,                        -   ,                   -   ,                    -   ,                           0   ,                        37   ,               0   , 0.0000   ,
2016-02-27 08:29:44 ,              776.3   ,                800.0   ,               55.0   ,          0   ,                        0   ,                   0   ,                    0   ,                         211   ,                        37   ,              16   , 1.0750   ,
2016-02-27 08:29:45 ,              776.3   ,                800.0   ,               55.0   ,          0   ,                        0   ,                   0   ,                    0   ,                         211   ,                        37   ,              16   , 1.0750   ,
2016-02-27 08:29:46 ,              776.3   ,                800.0   ,               55.0   ,          0   ,                        0   ,                   0   ,                    0   ,                         211   ,                        37   ,              16   , 1.0750   ,
2016-02-27 08:29:47 ,              776.3   ,                800.0   ,               55.0   ,          0   ,                        0   ,                   0   ,                    0   ,                         211   ,                        37   ,              16   , 1.0750   ,
2016-02-27 08:29:48 ,              776.3   ,                800.0   ,               54.0   ,          0   ,                        0   ,                   0   ,                    0   ,                         211   ,                        37   ,              16   , 1.0750   ,
2016-02-27 08:29:49 ,              776.3   ,                800.0   ,               54.0   ,          0   ,                        0   ,                   0   ,                    0   ,                         211   ,                        37   ,              16   , 1.0750   ,
2016-02-27 08:29:50 ,              776.3   ,                800.0   ,               54.0   ,          0   ,                        0   ,                   0   ,                    0   ,                         211   ,                        37   ,              16   , 1.0750   ,
2016-02-27 08:29:51 ,              776.3   ,                800.0   ,               54.0   ,          0   ,                        0   ,                   0   ,                    0   ,                         211   ,                        37   ,              16   , 1.0750   ,
2016-02-27 08:29:52 ,              776.3   ,                800.0   ,               54.0   ,          0   ,                        0   ,                   0   ,                    0   ,                         211   ,                        37   ,              16   , 1.0750   ,
2016-02-27 08:29:53 ,              776.3   ,                800.0   ,               54.0   ,          0   ,                        0   ,                   0   ,                    0   ,                         211   ,                        37   ,              16   , 1.0750   ,
2016-02-27 08:29:54 ,              776.3   ,                800.0   ,               54.0   ,          0   ,                        0   ,                   0   ,                    0   ,                         171   ,                        37   ,              16   , 1.0750   ,
2016-02-27 08:29:55 ,              776.3   ,                800.0   ,               54.0   ,         28   ,                        4   ,                   0   ,                   16   ,                           0   ,                        37   ,              16   , 1.0750   ,
2016-02-27 08:29:57 ,              776.3   ,                800.0   ,               53.0   ,          0   ,                        0   ,                   0   ,                    0   ,                           1   ,                        37   ,              16   , 1.0750   ,
2016-02-27 08:29:57 ,              776.3   ,                800.0   ,               53.0   ,         41   ,                        4   ,                   0   ,                   30   ,                         211   ,                        37   ,              16   , 1.0750   ,
2016-02-27 08:29:58 ,              776.3   ,                800.0   ,               53.0   ,          0   ,                        0   ,                   0   ,                    0   ,                         211   ,                        37   ,              16   , 1.0750   ,
2016-02-27 08:29:59 ,              776.3   ,                800.0   ,               53.0   ,          0   ,                        0   ,                   0   ,                    0   ,                         211   ,                        37   ,              16   , 1.0750   ,
2016-02-27 08:30:00 ,              776.3   ,                800.0   ,               53.0   ,          0   ,                        0   ,                   0   ,                    0   ,                         211   ,                        37   ,              16   , 1.0750   ,
2016-02-27 08:30:01 ,              776.3   ,                800.0   ,               53.0   ,          0   ,                        0   ,                   0   ,                    0   ,                         211   ,                        37   ,              16   , 1.0750   ,
